subcategoria,desconto_medio
Tables,0.29073170731707315
Binders,0.17920676202860858
Machines,0.1695827725437416
Chairs,0.1631100757134537
Bookcases,0.1537577768560763
Furnishings,0.15106624605678234
Phones,0.14584748287161156
Appliances,0.14170940170940172
Fasteners,0.14059504132231404
Storage,0.1384641233445345
Envelopes,0.13174948665297742
Supplies,0.12791752577319587
Accessories,0.12048130081300813
Labels,0.12044896392939371
Art,0.11736227728855213
Copiers,0.11714709851551958
Paper,0.10946862634256642
