pais,valor_medio_venda
Lesotho,1118.665
Montenegro,1001.0925
Chad,658.515
Taiwan,546.2592857142857
South Sudan,522.8100000000001
Slovenia,489.98
Bangladesh,480.10104294478526
Republic of the Congo,452.205
Uruguay,404.6893333333333
Japan,403.15006800000003
Mauritania,402.093
Afghanistan,394.0603636363636
Cambodia,388.356
India,379.1962090032154
Qatar,378.1125
China,372.63937500000003
Malaysia,348.6489204545455
Estonia,344.6030769230769
Central African Republic,339.65142857142854
Belgium,334.8755102040816
Bahrain,334.59
Spain,334.2801862630966
Australia,326.13177758195275
United Kingdom,323.6842008573179
Finland,323.50546875
Namibia,322.1633333333333
Switzerland,318.9469230769231
Germany,304.5230171912833
France,303.83129925716304
Norway,293.21957142857144
Hong Kong,292.7142857142857
Indonesia,291.2859697122302
Singapore,285.718085106383
Austria,279.57416918429004
Barbados,275.9336123076923
New Zealand,273.91819108280254
Philippines,269.3394493392071
Italy,261.4708104693141
Thailand,261.1930677966102
Senegal,257.5794642857143
Zambia,255.25
Guatemala,252.5959054894434
Myanmar (Burma),251.0211154411765
Vietnam,248.30263924528302
Chile,247.88161342657344
Nicaragua,243.7900074267101
Albania,243.0075
Bolivia,241.436875
El Salvador,241.243075
Martinique,238.7260416
Ecuador,238.2675064285714
Liberia,237.392
Pakistan,236.43619277108434
Mexico,235.47300208774584
Cote d'Ivoire,235.02908256880733
Lebanon,233.05499999999998
Democratic Republic of the Congo,230.65060686015832
United States,229.85800083049827
Guinea-Bissau,229.49333333333334
Trinidad and Tobago,229.37214933333334
Ghana,228.15941176470588
Ukraine,227.9715748031496
Saudi Arabia,227.18060941828253
Mozambique,226.62638297872343
Colombia,226.395916
Brazil,225.83265726078798
Madagascar,225.31339285714284
Cuba,219.41289430939224
Jamaica,218.12212387096776
Hungary,215.97045454545454
Russia,215.92156250000002
Paraguay,215.86396000000002
Portugal,215.78742857142856
Romania,215.35595375722545
Angola,209.45901639344262
Bulgaria,207.43519999999998
Mali,207.31325581395348
South Africa,206.70774403470716
Cameroon,203.1760909090909
Libya,200.2153846153846
Djibouti,199.4125
Guinea,194.34833333333333
Azerbaijan,194.19
Morocco,193.07747228381376
South Korea,192.58941279069768
Iran,187.39062602965404
Israel,187.32116504854366
Nepal,185.38105263157894
Algeria,184.14076530612243
Mongolia,183.5091891891892
Syria,183.1251724137931
Guadeloupe,182.705
Iraq,182.25463917525775
Tanzania,181.19012837837838
Kenya,179.3176530612245
Netherlands,178.19527586206897
Sudan,177.59315217391304
Benin,177.4877142857143
Poland,175.51130952380953
Jordan,174.43214285714285
Canada,174.292109375
Egypt,172.77067761806984
Dominican Republic,170.0007833962264
Belarus,167.326125
Georgia,164.46727272727273
Sierra Leone,163.178
Niger,160.9995348837209
Somalia,157.40480769230768
Ireland,156.97650000000002
Bosnia and Herzegovina,152.89764705882354
Uzbekistan,152.705625
Sweden,150.20395566502464
Argentina,147.46611097435897
Rwanda,144.28
Swaziland,144.01500000000001
Croatia,139.411875
Venezuela,137.05066783505154
Tunisia,135.44538461538463
Czech Republic,134.84408450704225
Lithuania,134.48664
Burundi,133.86
Papua New Guinea,133.09704545454545
Denmark,132.89312307692308
Panama,132.83486474226802
Moldova,131.79307692307694
Kyrgyzstan,127.6575
Honduras,126.40343422159887
Gabon,125.12357142857142
Sri Lanka,121.68857142857144
Ethiopia,121.51714285714286
Peru,110.08138098765433
Slovakia,108.16499999999999
Haiti,106.13777884615385
Togo,94.23681818181818
Eritrea,93.86999999999999
Yemen,82.1904
Turkmenistan,81.08243999999999
Tajikistan,80.928
Turkey,78.74306821480407
Nigeria,60.05563756906077
United Arab Emirates,53.151428571428575
Macedonia,52.41
Armenia,52.25
Equatorial Guinea,50.169999999999995
Zimbabwe,47.0638125
Kazakhstan,45.59845544554456
Uganda,43.836081081081076
